time (min),cell1,cell2,cell3,cell4,cell5
53,1.96938774,1.781334566,1.880194001,2.117325242,2.133641441
53.5,2.125456382,1.920104007,1.854065984,2.419681673,2.108214858
54,2.265518652,1.8995394,2.064628522,2.127644993,2.194046067
54.5,1.931798909,2.002456134,1.772290217,2.278297176,2.130022786
55,2.581302462,2.044046521,1.98643978,1.974771952,2.134211217
55.5,1.944396046,1.959174457,2.02639258,1.888856209,1.97743713
56,2.375077284,2.058667002,1.884044332,2.101181877,2.140669183
56.5,2.039947685,2.297958993,1.875440548,2.271333327,2.169065727
57,2.027267685,1.91051868,2.050466049,1.94312694,2.152617545
57.5,1.897082249,2.074333942,2.121704161,2.022825326,2.073560495
58,2.135001531,1.82434341,1.914000246,2.342682008,2.04381204
58.5,1.980134634,1.932735259,1.910691213,2.365881682,1.96920801
59,1.97211547,1.891915837,2.250055879,2.290037743,2.237903268
59.5,1.909415126,1.967943416,2.12207939,2.124190791,1.988435719
60,2.292806068,1.910589352,2.441268273,2.021565552,2.07470621
60.5,2.19091321,1.913943926,1.86172785,2.071970975,2.005361479
61,2.342393037,2.046458534,1.938741758,2.335431698,2.157815209
61.5,1.982211709,1.600786869,1.857759556,2.047412957,2.136911749
62,2.138210919,2.116304268,1.868626684,2.155835912,2.073159347
62.5,2.185734038,1.915378802,2.333793236,2.473649625,2.263548204
63,2.02647145,1.884493537,2.074331424,2.104781058,2.144764661
63.5,2.022692099,2.133179729,2.344451717,2.206603275,2.095577397
64,2.256334521,2.067859887,2.117352241,2.483424187,2.223140051
64.5,2.085839741,1.940457169,1.982282283,2.197925112,2.417721588
65,2.138452772,1.901236343,1.978709132,2.342065638,2.320222049
65.5,1.980134634,1.942790264,1.993827338,2.292212997,2.136222506
66,2.089522778,2.190626304,1.895881703,2.232477842,2.112731177
66.5,2.014755862,1.786623051,2.130881705,2.212559385,2.139894602
67,1.94312694,1.832471038,1.729275651,2.090306363,2.177427413
67.5,2.182414526,2.125450003,2.196555884,2.095549007,2.358496777
68,2.170741794,2.021483209,1.897756961,2.185918795,2.144697518
68.5,2.299688591,2.075463478,2.01894517,2.254791136,2.180041657
69,2.016796869,1.899220118,1.876949617,2.188302742,2.160030021
69.5,1.835285444,2.047246852,1.977048534,2.350794244,2.296666846
70,2.152997322,1.896881293,1.978961614,2.338533453,2.23514682
70.5,2.148099025,2.105967684,2.115928282,2.345557601,2.010392971
71,2.225370769,2.104359689,1.945539051,2.318652175,2.371645028
71.5,2.166750169,1.973061869,1.869146736,2.174957043,2.307958007
72,2.172373378,1.987611856,2.131746934,2.110544429,2.164503879
72.5,2.052078715,2.070222477,2.621801459,2.516218629,2.096675073
73,2.043874339,1.84862214,2.20623767,2.437765413,2.169019313
73.5,2.018630368,2.189834444,1.692019727,2.172284349,2.023675773
74,2.031320031,1.976334215,1.710005796,2.320343684,2.260551704
74.5,1.898874691,2.211175976,1.907857016,2.320750084,2.164528156
75,1.812599138,2.026601002,2.250788528,2.209737278,2.140857755
75.5,1.780873399,1.924506472,2.180181789,2.337237282,2.128215063
76,2.131360247,1.825968565,1.912460043,2.205901855,2.151345925
76.5,1.830179776,1.921827105,1.967546784,2.328982426,2.143475558
77,2.112265707,1.994776459,1.950735838,2.129869821,2.388796116
77.5,1.934199643,1.88553609,1.899428807,2.177023551,2.240134882
78,2.239235395,1.810940255,2.303087077,2.204996029,2.346203337
78.5,2.269636182,1.959138102,2.232455385,2.304216249,2.304758632
79,2.480475825,2.09278258,1.744850625,2.401096155,2.161574176
79.5,1.95633642,1.78736187,1.985414783,2.211493832,2.158420484
80,2.025476381,2.184720388,1.941775362,2.379066787,2.278495524
80.5,1.966348393,1.992377707,2.042305541,2.254130537,2.135940606
81,2.076225372,1.965740202,1.950204434,2.472531753,2.338463044
81.5,2.006851404,2.311360852,1.975406856,2.180199573,2.330787465
82,1.883973312,1.927694466,1.883641175,2.480815412,2.265378578
82.5,2.104479606,1.999406113,1.788807838,2.192971216,2.115218268
83,2.18153521,1.964849637,2.014844192,2.222581651,2.290917675
83.5,1.986822543,2.028432162,1.870849344,2.329613961,2.159943083
84,1.98642299,2.05559196,1.791482251,2.179915326,2.199959197
84.5,2.235547296,1.965799719,1.943243844,2.198445402,2.315197742
85,1.924143357,2.06387308,2.152510907,2.35078396,2.066707219
85.5,1.97211547,2.029614019,1.824016732,2.473637157,2.193207356
86,2.061719927,1.995306023,2.054212293,2.474015427,2.28989715
86.5,1.992399966,2.128435116,2.132802575,2.347037555,2.131427002
87,2.088091814,1.781625269,1.995116146,2.448606303,2.239045415
87.5,1.997957108,2.120964536,2.363865203,2.261578319,2.25368188
88,2.139824424,2.106778543,1.972436967,2.367879349,2.407700895
88.5,2.010275827,1.821375142,1.85726166,2.424173027,2.111037637
89,1.810391242,2.284810359,1.970385143,2.298568965,2.195461539
89.5,1.952005142,1.792854662,1.839509957,2.659551189,2.198330009
90,2.141802124,1.972662641,1.846601091,2.356295041,2.187110138
90.5,2.187634515,2.03561904,2.039862174,2.306031853,2.18990217
91,2.167326104,2.105683426,1.977520545,2.384287681,2.279078472
91.5,2.029546124,2.01912308,1.848179427,2.408633889,2.132637322
92,2.104613691,2.029414645,2.05674332,2.398328219,2.119087092
92.5,2.085535618,2.104819213,1.967364574,2.376819302,2.275223937
93,1.880063693,1.875137704,2.038155705,2.450266249,2.349151947
93.5,2.093466112,1.859060861,2.230850638,2.15722205,2.42553513
94,2.313957595,2.006182478,2.001480933,2.335701125,2.1648161
94.5,2.309528927,1.981931388,2.268123005,2.178062344,2.292031259
95,2.103288537,1.955373852,1.98830187,2.25317867,2.13496225
95.5,2.084421589,1.955339126,2.094747915,2.389726318,2.215527261
96,1.94426564,1.916274967,2.246043669,2.392684508,2.223997421
96.5,2.180292289,1.99989876,2.106982492,2.228671695,2.380556879
97,1.985196313,2.115504346,1.86874136,2.485844194,2.203716425
97.5,2.158049459,2.106560999,1.879628235,2.547545437,2.204773495
98,2.079012342,2.096394328,2.174957043,2.264449285,2.276418684
98.5,2.216877521,2.040388618,2.032631744,2.403303821,2.193732157
99,2.098389143,1.972949429,2.261440011,2.324291178,2.345180911
99.5,2.111927385,2.281730358,2.441970854,2.57135123,2.187245663
100,2.123092471,2.190467973,2.248597914,2.3705608,2.275934849
100.5,2.236422956,2.061458627,1.997161477,2.248738562,2.269018696
101,2.317347808,2.114912453,2.093005558,2.72715398,2.244800634
101.5,2.589348756,1.965457862,1.975779259,2.562858491,2.381367549
102,2.105268241,1.950529773,2.002027439,2.515571832,2.171301739
102.5,2.014010085,2.073013146,1.934043842,2.381805075,2.273714715
103,2.162641814,2.149527978,1.865734814,2.29636311,2.223541585
103.5,2.093785971,2.135758784,1.95422551,2.308444689,2.254086294
104,2.120886413,2.159415382,2.020932099,2.504193501,2.284277923
104.5,2.246741135,1.742588928,1.978535682,2.570407441,2.307679662
105,1.792854662,2.147694339,1.973094401,2.507724779,2.367330694
105.5,2.167040492,2.15151348,1.880063693,2.472073591,2.331212749
106,2.281672274,2.061458627,1.810391242,2.484321669,2.319730447
106.5,2.141083226,2.040737965,2.159718519,2.631831659,2.424789659
107,1.949083115,2.109488817,2.053415501,2.529625784,2.347100927
107.5,2.134960323,2.094321337,1.96597781,2.69123825,2.165029215
