time (min),cell1,cell2,cell3,cell4,cell5
78.5,3.103663471,3.670421085,2.48930778,3.062541327,3.013938391
79,3.080576192,3.71764414,2.730304275,2.78156097,3.155621108
79.5,3.223280127,3.868361498,2.546077837,2.969648506,3.387940275
80,3.06583751,3.659801744,2.530461185,3.171500848,3.373778259
80.5,3.162392907,3.936930431,2.475405892,3.141017146,3.343725251
81,3.14390401,3.824628957,2.536199876,3.015329348,3.000113244
81.5,3.114387497,3.739884991,2.690260353,2.923317878,3.243847881
82,3.209695824,3.81369684,2.643811135,3.236811869,3.015095322
82.5,3.163610122,3.796019137,2.599672148,3.070125404,3.379824499
83,3.112837224,3.714163655,2.655747309,3.014488758,3.126026562
83.5,3.449235812,3.664279486,2.599245967,2.887176297,3.256582131
84,3.386388354,3.637774833,2.786650813,3.064311214,3.113722972
84.5,3.183350226,3.777019665,2.548831109,3.107327902,3.297521426
85,3.164295441,3.764972212,2.537997388,2.882563912,3.240778467
85.5,3.257076145,3.910591219,2.562352699,3.088106669,3.393307291
86,3.466147957,3.648496049,2.717979538,3.045635456,3.34905741
86.5,3.245405068,3.692471519,2.730741578,3.148566877,3.403866106
87,3.080540214,3.81104211,2.741716307,3.375279273,3.399759215
87.5,3.315775502,3.882017987,2.536744968,3.182774642,3.296330846
88,3.278874537,3.885598311,2.779908025,3.26629452,3.163593442
88.5,3.075196834,3.583211176,2.757983998,3.132090317,3.526096431
89,3.364068528,3.647032834,2.80648008,3.286083737,3.410029021
89.5,3.185645155,3.573769689,2.794715553,3.298823799,3.388457434
90,3.232009201,3.685120301,2.713182516,3.134919294,3.480397013
90.5,3.213267724,3.568804453,2.743212716,3.286374507,3.129127885
91,3.432134317,3.530928233,2.838543003,3.380294372,3.418964792
91.5,3.351234594,3.501763585,2.797205516,3.329189107,3.400690497
92,3.335185856,3.621576277,2.800079473,3.195691062,3.649307405
92.5,3.40412137,3.754239159,2.706059505,3.221755303,3.287210128
93,3.447215023,3.725709832,2.596654573,3.297001473,3.186561248
93.5,3.267010618,3.644931367,2.613985215,3.179696935,3.230715749
94,3.268351598,3.866553198,2.68644113,3.336941357,3.247967111
94.5,3.452466498,3.736622076,2.976714622,3.374513661,3.24125025
95,3.453699949,3.700359086,2.889251488,3.162363055,3.546458048
95.5,3.320023761,3.64765723,2.864906093,3.301405095,3.480988512
96,3.49257118,3.708688287,2.552647987,3.262094873,3.484074393
96.5,3.304875853,3.893494281,2.652807959,3.459604451,3.411801019
97,3.362691859,3.697994792,2.948629502,3.363962982,3.301196917
97.5,3.375579406,3.657525551,2.589174493,3.540699957,3.924493737
98,3.404772886,3.733852771,2.474224081,3.264919203,2.138358778
98.5,3.468257678,3.663817978,2.928857749,3.215732507,1.886219013
99,3.406865287,3.678221616,2.601462797,3.437088681,2.015734925
99.5,3.557148783,3.652716412,2.790127586,3.232325192,2.15903318
100,3.389666852,3.808523916,2.896355082,3.535345593,1.879001513
100.5,3.500925549,3.90988484,3.07230589,3.483790008,2.024643916
101,3.36476478,3.704337557,2.735252714,3.545157726,2.065651991
101.5,3.346150132,3.641350305,3.010094404,3.472706954,2.142883046
102,3.416658474,3.691365633,2.94230759,3.621296009,2.18872708
102.5,3.491875432,3.669518568,2.952273061,3.507905546,2.066606222
103,3.548110254,3.813767457,3.030549128,3.59279011,1.977580079
103.5,3.60170126,3.740192725,2.9987995,3.318954955,2.016182362
104,3.524205874,3.786223266,3.065404197,3.58445826,1.948519348
104.5,3.610130978,3.979022943,2.89384536,3.43837246,2.029614019
105,3.409797992,3.983448773,2.928101752,3.496882645,2.067498881
105.5,3.627530421,4.071034661,2.846463517,3.497228492,2.085127469
106,3.618608871,3.974260465,3.035231823,3.55859432,1.932894184
106.5,3.469922112,3.953070456,3.048399292,3.577095351,2.029484686
107,3.573315199,4.095131601,3.126250189,3.40572195,2.234023568
107.5,3.441337439,4.037287069,2.804298736,3.460968062,2.024368368
