time (min),cell1,cell2,cell3,cell4,cell5
18.66666667,0.998093935,1.001629518,1.002205236,1.004703948,1.001565507
18.83333333,1.00142237,1.002175583,1.001695359,1.010650286,0.999754952
19,1.000400038,1.000305627,1.003476437,0.996722477,0.997091548
19.16666667,1.000187926,0.99955955,0.999331066,0.995913893,0.999761942
19.33333333,1.001495129,0.996464122,1.000965467,1.007760372,1.002760893
19.5,0.999655179,0.999330964,1.00263479,1.007170959,1.003019543
19.66666667,0.998499661,1.00041992,1.002400806,1.005601469,0.999587178
19.83333333,0.999629282,0.999254769,0.999959682,0.999010997,1.003466939
20,0.998648879,1.000902489,0.999879359,1.005788237,0.998580538
20.16666667,1.000535691,0.998429322,1.00227159,0.997842465,1.00072664
20.33333333,0.997860858,1.001242192,0.999725697,1.004318431,1.00036313
20.5,0.999343177,0.999686542,1.000280974,0.993207287,0.998881132
20.66666667,0.999069404,1.00065168,1.001688375,1.002819515,1.001824158
20.83333333,0.999549123,0.999842107,1.000012067,0.997963271,1.002516223
21,1.002918254,0.999470655,1.000885144,0.999327176,1.000705668
21.16666667,1.000317413,0.998921416,1.003989806,1.00213643,1.000922375
21.33333333,1.000274251,1.001423156,1.000822282,1.003711684,0.999615141
21.5,1.001082003,0.999854806,1.001031821,1.000068523,0.998853169
21.66666667,0.998574887,1.000067517,1.001010867,1.00694384,1.00110413
21.83333333,0.999980747,0.999975448,1.002037605,1.010521986,0.99898599
22,0.998536657,1.00073105,0.999690774,0.99712887,0.999580188
22.16666667,0.999995545,1.000308802,1.000867682,1.002169493,1.001006262
22.33333333,1.001592553,1.000242131,1.003371667,1.007455145,0.998545585
22.5,0.999484996,1.000099265,1.00131819,0.999752632,0.998496651
22.66666667,1.001148597,1.000867566,1.00081879,0.994460968,0.999020943
22.83333333,0.998835094,1.000997733,1.000246051,1.002683186,0.99935649
23,0.9997785,1.00362964,1.00003302,1.006573476,0.999678056
23.16666667,1.000676277,0.999854806,1.001164528,1.002421769,1.00036313
23.33333333,1.001228755,1.000464367,1.000605759,0.998330506,1.002886723
23.5,1.000057206,1.000629456,1.00026002,0.994226027,1.000838489
23.66666667,1.000076937,1.000842168,1.003060852,1.003942796,0.998189066
23.83333333,1.000375374,0.997737216,1.001209928,0.999079841,0.994379211
24,1.001403871,0.999819883,0.999393928,0.995553575,0.998175085
24.16666667,1.000321113,0.9999437,1.000804821,1.004260293,0.999216679
24.33333333,1.001760269,0.998584887,1.000315897,1.00539465,0.999531254
24.5,0.99783866,1.001239018,1.001332159,0.999843545,1.002530204
24.66666667,1.00001651,0.999997672,1.002278575,1.007887354,1.000873441
24.83333333,1.003330146,0.999861156,0.999379959,1.000029201,1.001796195
25,0.999710673,1.00041992,1.001786159,1.007859438,1.002222619
25.16666667,0.998799331,0.999911952,1.001852513,1.007339404,1.001915035
25.33333333,0.999817963,0.999600822,1.001457882,1.006330834,0.999426395
25.5,1.001045007,1.001226318,0.999648866,0.990864335,0.996951737
25.66666667,1.000567755,0.999988147,1.004639375,1.005106923,0.999405424
25.83333333,0.999461565,0.999032533,1.002013159,1.002340243,0.999279594
26,1.000665178,1.000092916,1.000714021,0.997863382,0.999328528
26.16666667,1.000610917,0.998937289,0.998978343,0.997583601,0.999160754
26.33333333,0.999695875,0.999810359,1.000710528,1.006542718,1.000006612
26.5,0.999292615,1.000613583,0.999945713,1.001561304,1.000845479
26.66666667,0.999391272,0.999057932,1.001580113,1.005240328,0.999083858
26.83333333,1.000279183,1.000038944,1.000640682,1.001264066,1.000509932
27,0.998992945,0.998975387,1.004363483,1.001084545,1.001334818
27.16666667,0.999750136,1.000835818,0.999502189,0.994873413,1.002942647
27.33333333,1.00201801,1.000667554,1.00172679,1.001596508,1.001845129
27.5,0.998673543,0.999842107,1.002687175,0.997053191,1.001810176
27.66666667,0.998899221,0.997232423,1.001985221,1.001603549,0.997818567
27.83333333,1.000386473,0.999451607,1.000584805,1.007086057,1.001663375
28,1.000042407,1.000915188,1.000218113,0.997496764,0.998328877
28.16666667,1.000772468,0.999804009,0.999586005,0.993910095,1.000796545
28.33333333,0.998983079,0.999203972,1.003186575,0.999037102,0.999531254
28.5,0.999930185,1.000524688,0.999530128,0.997535921,1.002649044
28.66666667,1.002136398,1.000788196,0.999984128,1.007565369,0.999517273
28.83333333,0.999603384,0.998470594,0.999379959,0.991981193,1.001069177
29,0.999200124,1.001581896,1.001517252,1.014031618,0.998293925
29.16666667,1.001985947,1.000000847,0.99980602,0.995131124,0.999643103
29.33333333,1.000887156,1.001197745,1.00016922,1.003812232,0.998930066
29.5,1.000371674,1.001264416,1.001485821,1.001742472,0.998874141
29.66666667,0.998840027,0.999302391,1.002421759,1.006060441,1.002054846
29.83333333,0.998719172,0.999832582,1.001269298,0.991599176,0.999034924
30,0.998513226,0.998416623,1.002613836,1.00811719,1.000789555
30.16666667,1.000654079,0.999724639,1.002784959,0.999649572,0.998286934
30.33333333,0.999492395,0.999245245,1.003462467,1.000903048,1.000838489
30.5,1.000735471,1.001407282,1.001538205,0.999540336,1.002844779
30.66666667,1.000845227,0.998168989,1.003301821,1.007450945,1.003746562
30.83333333,1.001660379,0.999343664,1.000361297,1.004240982,0.997399133
31,1.000059672,0.998045171,1.001852513,1.002397805,0.996937756
31.16666667,1.000118866,1.000277054,1.003410083,0.992048225,1.001768233
31.33333333,1.001028975,1.001718412,1.002257621,1.00971266,1.000796545
31.5,0.999398671,1.00158507,1.004132991,1.003338231,1.001299866
31.66666667,0.999152029,1.000045294,1.001098174,1.006665501,1.000803536
31.83333333,0.999271651,1.000229432,1.002323975,1.013558523,0.998650443
32,1.000842761,0.999426208,1.002376359,1.007688358,1.002194657
32.16666667,0.999224789,0.998546789,1.00254399,0.997107953,1.002271553
32.33333333,0.999316046,1.001070753,0.998957389,1.007198093,0.999782914
32.5,1.000588719,1.000432619,1.000616236,1.003378335,1.001656384
32.66666667,1.000625716,1.002039067,1.001611544,1.008396271,1.002299516
32.83333333,1.000993212,0.999772261,1.002537006,1.005910649,0.999125801
33,0.999635448,0.997559427,1.003546283,1.005034414,1.002467289
33.16666667,0.998565021,1.001258066,1.000197159,1.001000961,1.000929366
33.33333333,0.999103934,1.000861217,1.001489313,1.004498528,1.000593819
33.5,1.000720673,1.002483538,1.003354206,1.007360856,1.001824158
33.66666667,1.001400172,0.998740452,1.001573128,1.010505846,0.999831848
33.83333333,0.999561455,0.998165814,1.002550975,1.000643237,0.999943697
34,0.999676144,1.000486591,1.001712821,1.001029371,0.999517273
34.16666667,0.999302481,0.999188098,0.999359005,1.002183286,1.000824507
34.33333333,1.000760135,0.997511805,1.003441513,1.006471322,1.001153064
34.5,1.000635581,0.999756387,1.001496298,1.010898939,1.000013602
34.66666667,1.0007811,1.000016721,1.004014252,1.016797556,0.999782914
34.83333333,1.001798499,1.000540562,1.004220298,1.001877236,1.003445967
35,1.000804531,0.99877855,1.002247144,1.007708162,1.001537545
35.16666667,0.999445533,1.000873916,1.002229682,1.003405798,1.000684696
35.33333333,1.000972248,1.001613644,1.001967759,0.996396458,1.001586478
35.5,0.999650246,1.001061229,1.002488113,1.006400008,1.00160046
35.66666667,1.000528292,1.001362835,1.001622021,0.994221539,0.999055896
35.83333333,0.999227255,1.002613705,1.002065544,1.00326737,1.000041565
36,1.000531992,1.000718351,1.003004975,0.997093295,0.999971659
36.16666667,1.000842761,0.999489704,1.003665021,1.005789719,1.003166345
36.33333333,1.001591319,0.997178452,1.001957282,0.998543625,0.999412414
36.5,0.999156962,0.999102379,0.999558066,1.007851244,0.998727339
36.66666667,1.000464165,0.998861094,1.00304339,1.007793188,1.000565857
36.83333333,0.997478563,0.999156351,1.001283267,1.006457981,0.999377461
37,1.001189293,0.99986433,1.003312298,1.00669984,1.000705668
37.16666667,1.000966082,0.999118253,1.002802421,1.001232032,0.998804236
37.33333333,0.99994745,0.999223021,1.002994498,1.001356873,0.998203047
37.5,0.999196425,0.997997549,0.998957389,0.998281756,0.998965018
37.66666667,1.000203958,1.002553384,0.999952697,1.001773847,1.001195007
37.83333333,1.000959916,0.999683367,1.001663928,1.008559198,0.998727339
38,1.000048573,0.99877855,1.003109744,1.000853968,0.999929716
38.16666667,0.999349343,0.999607172,1.003399606,0.999166884,0.997867501
38.33333333,1.000090502,1.002877213,1.00240779,1.007916217,0.998643453
38.5,1.001490196,1.000661204,1.001461375,0.99958744,1.003404024
38.66666667,0.998605717,0.999111903,1.00022859,1.009826179,0.999342509
38.83333333,1.001168328,0.998842046,1.003326267,1.007271507,0.998538594
39,1.001772601,1.001391408,1.000951498,1.004922543,0.99861549
39.16666667,1.000259452,1.000172286,1.003071329,0.995480614,1.001299866
39.33333333,0.999731638,1.000870741,1.002173806,0.998994692,1.003292175
39.5,1.000688609,1.001086627,1.003287852,1.009499212,0.999810876
39.66666667,0.999423335,0.999623046,1.003312298,1.004438331,1.002572147
39.83333333,1.000460465,0.999061107,1.001209928,1.013645319,1.000537894
40,0.999995545,0.998115017,1.002016652,1.006584387,1.001118111
40.16666667,0.998331944,1.000150062,1.001063251,1.002171263,0.999083858
40.33333333,1.003023077,0.997807062,1.003940914,1.000329652,1.004487561
40.5,1.003449767,0.997699119,1.003790744,1.008806739,1.000992281
40.66666667,1.000853859,1.002264477,1.001733775,1.000839515,0.999699027
40.83333333,1.001421136,1.000429444,1.003654544,1.003561191,1.00160745
41,0.999127365,1.000943761,1.003885037,1.00031557,1.001257922
41.16666667,0.999143397,1.000464367,1.004094575,1.006683741,1.003264213
41.33333333,0.99807297,0.998559489,1.002170313,1.009474713,1.000810526
41.5,0.999721772,0.998442021,1.002027129,1.006831846,0.998238
41.66666667,0.998550222,1.001165997,1.001297236,1.000372473,1.001376762
41.83333333,1.00128055,0.999778611,1.003815191,1.002758494,0.999706018
42,1.000099135,0.999483355,1.00360216,1.004549214,1.002683996
42.16666667,1.001036375,0.99869918,1.00290719,1.009912192,1.002201648
42.33333333,1.00020889,1.00175651,1.000731482,1.002918704,1.001243941
42.5,0.998435534,0.997864208,1.001869975,1.002413658,1.001313847
42.66666667,1.001597485,1.000194509,1.004070129,1.010362106,1.00036313
42.83333333,1.00118066,1.000464367,1.003553267,1.000675806,1.000824507
43,0.998796864,1.002112087,1.00295259,0.999246598,1.003180326
43.16666667,0.999530625,1.000769148,1.004576514,1.00276747,1.002117761
43.33333333,1.001005544,1.001340611,1.003273883,1.01498629,1.001775224
43.5,0.999621882,1.000153237,1.001237867,1.007521848,1.001041215
43.66666667,1.002458266,1.001604119,1.005477529,1.006913001,1.00098529
43.83333333,0.999508427,0.999819883,1.002599867,1.004168432,1.003424996
44,0.998335644,1.0019089,1.004248237,1.007322481,0.996972709
44.16666667,1.000060905,1.002474014,1.002530021,1.005712805,1.001523563
44.33333333,1.000943884,1.000673904,1.001548682,1.003554726,1.001866101
44.5,0.998835094,0.999775436,1.003137683,1.00764566,1.000055546
44.66666667,1.001131332,1.001683489,1.003762806,1.00872859,1.001048205
44.83333333,1.001109134,1.000489765,1.002865283,1.007896989,0.998881132
45,1.001025276,1.000337375,1.001702344,1.002938056,1.001460648
45.16666667,0.999212456,0.99861346,1.001789652,1.003703037,1.003592769
45.33333333,1.000799598,1.000997733,1.001981729,1.008538693,1.004138033
45.5,1.000724372,0.999292867,1.002509067,1.00617643,0.999125801
45.66666667,0.998807963,1.001972396,1.003403098,1.004742693,1.001250932
45.83333333,1.00054309,0.998330903,1.003672006,1.006377444,1.00285177
46,1.000218756,1.001873977,1.002149359,1.005108158,1.003494901
46.16666667,1.001664079,1.000375473,1.001339144,0.998014368,1.001327828
46.33333333,1.001421136,0.998495993,1.005491499,1.010716659,1.003061487
46.5,1.000298915,1.002178758,1.001782667,1.003663262,1.000258272
46.66666667,1.000816863,1.000835818,1.003993298,1.021372866,1.003508883
46.83333333,1.000649147,1.000162761,1.002764006,1.007181458,0.99836383
47,1.000787266,0.999708765,1.005543883,1.005687318,1.002872742
47.16666667,1.001042541,1.002153359,1.002585898,1.013205122,1.004333769
47.33333333,1.001408804,0.998530915,1.00030542,1.009276334,1.004124052
47.5,0.998704374,0.999505578,1.002851313,0.999639485,0.998510632
47.66666667,1.000030075,1.001381883,1.00337516,1.006040431,1.000447017
47.83333333,0.999020076,0.999762737,1.001747744,1.007318158,1.004207939
48,1.000806997,1.002699424,1.001087698,1.005188283,1.001132092
48.16666667,1.000818096,1.000289753,1.003731375,1.000922194,1.004361731
48.33333333,0.99930988,1.000870741,1.004552068,1.010625087,1.001334818
48.5,1.000863725,1.000356424,1.005802314,1.00453822,1.001488611
48.66666667,0.999090369,1.000064343,1.001883944,0.999972957,1.001677356
48.83333333,1.001941551,1.002594656,1.002844329,1.002858177,1.001915035
49,1.000494995,1.001162822,1.003706929,1.010010352,1.001838139
