fov_id;chnl_id;lineage_times;fl_totals;fl_concs
7;1177;[  1  31  91 121 151 181 211 241 271 301 331 361 391 421 451 481];"[26556 16055 14772 15289 12557 11931 10948 11119 11044  9704  9972  9001
  9441  8357  8584  8333]";"[7.65743945 5.65715292 7.01643687 8.24184027 6.97651292 6.65051798
 6.71699022 5.84117048 5.99510081 5.49404427 5.6656104  4.4087228
 4.94142011 4.56052672 4.21662355 4.5920575 ]"
7;1103;[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481];"[16998 30179 23603 26164 12928  8741  7408  6686  6499  6090  5737  5321
  5176  5069  5119  4795  4654]";"[ 9.16334232  9.47832915  9.31452249  9.59090909 11.21824984  7.01878442
  6.192392    5.80176504  5.12106136  4.77401079  4.97827192  4.85332743
  3.99258787  4.07026865  3.86237972  3.59783245  3.65579969]"
8;880;[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481];"[26385 18159 13674 17030 15206 16064 14700 14327 13579 13695 12523 11862
 11448 11387 10339 10594 10190]";"[6.13604651 6.39401408 4.7142295  8.81174984 7.70077018 7.30080741
 6.01462582 6.96378862 6.77765459 6.11450725 5.61645997 5.29611428
 4.54578085 5.28929871 4.87556432 4.74834627 4.94238775]"
8;1692;[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481];"[28201 25682 16264 22221 20960 19248 18647 16785 15737 16716 14826 13777
 13090 13094 12655 13820 12573]";"[5.77889344 7.31264237 5.36158395 7.83010705 7.65410201 7.06487715
 6.86505389 6.95995125 5.77191347 7.33970585 5.07332615 5.51605326
 5.05212647 5.26256269 4.38696855 5.14611905 4.85565739]"
9;882;[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481];"[36769 26821 55012 29372 25408 24099 21907 24846 20245 17825 16703 16377
 16435 14654 16402 15175 15238]";"[ 8.37944394  6.53533138  9.56397775 10.0168814   8.72911209  8.73107639
  8.188207   10.20480959  7.56996819  6.2526547   6.86029681  6.1236537
  5.62529624  5.19752706  5.84775706  5.33340596  5.91240353]"
9;368;[  1  31  61 121 151 181 211 241 271 301 331 361 391 421 451 481];"[30422 55840 43594 31765 24968 22495 21992 19701 18289 16901 15750 15706
 15413 15016 11167 10764]";"[ 7.64371859  8.05539527  8.72578062 10.53074059  9.57138682  8.41641834
  9.56809893  8.44010392  8.31652787  6.34937385  6.19346772  5.98423236
  6.38938495  6.76296039  5.24227868  5.02695599]"
9;1842;[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481];"[20676  9260 22244 24018 11566  9059  8076  7522  7084  6492  6623  5764
  5357  5782  5119  5214  5104]";"[5.40690377 3.54517611 5.10183486 5.14524422 8.00307958 5.75003753
 5.2519516  4.8952375  4.84321318 4.02190528 4.88001476 3.76962966
 3.47175149 3.91424036 3.22696082 3.49918392 3.46224992]"
9;441;[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481];"[14698 32616 17558  9063  7066  6734  5639  5554  5266  4847  4700  4286
  3945  3730  3856  3571  3291]";"[6.36828423 6.9277825  5.8409847  8.03994372 5.52303916 4.88685956
 4.31616256 4.2922795  3.5967716  3.53595303 3.5154355  3.03980959
 2.70543836 2.70787673 2.29306018 2.58789932 2.54347841]"
9;1178;[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481];"[18520  9611 22960  8818  8448  7202  6597  6006  5958  5599  4479  4819
  4907  4133  4347  4303  4082]";"[6.50280899 4.91359918 8.         7.39928815 6.6012469  5.5125027
 5.99968663 5.01244113 4.60469291 4.32723659 4.04816289 3.82023819
 3.52741352 3.2109407  3.63953019 3.56521203 3.35573067]"
9;735;[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481];"[40749 23928 16284 19034 20991 19151 17941 15661 15684 15525 14903 14998
 13952 13392 13747 14432 13144]";"[9.2527248  6.87981599 5.91828283 8.53124627 8.94384019 8.53447422
 8.2984729  7.42067306 7.21573832 6.95165955 6.54922421 6.69605611
 6.71043548 6.38235577 6.95963567 7.0499833  5.42047793]"
