fov_id;chnl_id;lineage_times;fl_totals;fl_concs
9;566;"[  1  31  61  91 151 181 211 241 271 301 331 361 391 421 451 481 511 541
 571]";"[ 31521  54604  93048 172767 146380 137169 143621 135879 131550 129498
 125967 125563 119579 122163 123639 121920 120143 125226 122077]";"[11.54512789 15.84775319 19.95559558 23.34686275 19.53548333 22.5418449
 19.51753009 20.21449762 21.62443911 20.27624564 19.54171272 20.40005743
 18.84635764 21.22365381 20.07965028 18.45486501 18.38546993 20.33738777
 20.10761229]"
10;54;"[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481 511
 541 571]";"[ 44676  74763  86335 106692 115717 109476 103758 101296 100586  98328
  98831 105298 103193 100170 102318 105722  99895 100465  99094 101233]";"[ 9.83737652 13.30800205 14.15031235 16.13790228 15.00301668 14.68465557
 15.18762373 13.26454155 14.7233208  14.82287166 13.1192437  14.32129539
 14.06783227 13.47240252 13.24016478 14.42877885 15.12314234 13.52457553
 13.47750618 15.3139573 ]"
11;1521;"[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481 511
 541 571]";"[29183 25807 28067 26702 25735 25343 25939 26501 25229 26419 27401 25638
 23840 27676 24185 23257 23800 24479 22410 24938]";"[6.6730172  6.41359026 6.62177384 7.75827945 7.31122717 6.38441485
 8.06595293 6.58361426 6.8555298  7.24218212 7.23395245 6.43473149
 6.1068303  9.23914911 6.42099309 6.89933713 6.99208069 8.48959991
 7.43466888 8.038604  ]"
11;1079;"[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481 511
 541 571]";"[ 92901 126558 123567  77460  97610  91952  95516  89671  92321  97553
 100223 102360  91397 102850  84273 102676 107535  93328  91517  90153]";"[18.37440665 25.66058394 22.00267094 17.94729541 17.76745809 17.58183452
 18.5659929  18.35661346 19.73178679 19.84549184 19.12056969 19.5282671
 18.52368728 19.56583226 17.78960539 21.6059337  25.72628258 23.10932587
 19.62869206 19.42525192]"
11;414;[  1  31  61  91 121 151 181 211 241 271 301 331 391];"[45677 50556 44158 44957 40949 42361 39170 41928 42480 45709 44626 46627
 46745]";"[14.94988484 23.16742972 16.11253784 19.28345308 13.89235491 14.73556341
 15.34901538 12.57441863 13.58155258 13.82151191 14.28385395 18.98102314
 14.16270036]"
12;715;[  1  91 121 151 181 211 241 271 301 331 361 391 421 451 481 511 541 571];"[ 54853 119057  45871  50909  44321  43847  43826  51159  59300  63507
  64760  74028  69581  56555  65740  75324  69795  76519]";"[ 9.97327273 19.04302623  9.67138477 11.25304051 10.19390681 10.55676558
  9.78451459 10.98684305 14.64850118 12.16643839 15.5262337  16.97297528
 14.5558844  11.02919392 13.91834404 18.71961887 15.45856625 18.56343225]"
12;789;"[  1  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481 511 541
 571]";"[17748 18469 26858 32093 33354 29865 34150 32806 29157 30724 27936 26410
 28985 27693 27195 25266 27657 23923 26827]";"[ 6.33243874  7.7665376  10.7552383  11.15240107 10.82834427 10.45582105
 11.02315559 11.15652936 10.64723821 12.52369191 10.79396189 10.33648029
 11.11175003 10.92828887 11.87794012 11.93248379 12.20337481 11.24014417
 12.84888395]"
13;865;"[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481 511
 541 571]";"[86419 44398 56598 29692 49176 49349 42425 46605 44904 43976 43383 44018
 41121 40772 42466 43522 42792 43444 45411 42940]";"[15.43196429 12.19055464 13.38647114  8.9789187  12.34523662 12.52709417
 12.50397863 13.25452499 12.80211488 11.19623461 11.08523616 11.59289511
 12.61788476 11.09888545 12.10704193 13.80223395 11.66443431 12.78066025
 12.13727721 12.65576529]"
13;938;"[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481 511
 541 571]";"[25433 17331 35952 30727 55033 53061 45834 48604 45389 40682 37758 39114
 39883 38411 38144 35248 38889 40099 39973 39986]";"[24.87535726 18.15413668 18.85379159 14.57487193 21.31633355 24.82982731
 18.23374803 19.03699638 19.21020008 20.23383771 16.13409435 19.45396805
 18.12089598 16.5896011  16.51058564 16.36494109 18.63702028 17.92618632
 16.94045368 17.30968142]"
13;1455;"[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481 511
 541 571]";"[40702 30846 38311 17639 20269 18825 21041 18369 20431 18194 16757 16911
 17156 17746 16152 15569 15730 17154 15561 15670]";"[10.16533467 13.72153025 11.74463519 10.41431429  8.72195426  9.22178941
 10.34237557  9.14326044 10.18345267  9.42861676  8.09016874  9.5299845
 10.67411848 11.49368024 10.83443515  9.49219166  9.43880511  9.83477954
  9.5345513   8.39885808]"
14;122;"[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481 511
 541 571]";"[57353 70131 83890 46476 62000 64365 67052 66481 63959 57073 59926 56544
 60452 55860 55027 58076 58383 57350 60375 59352]";"[18.12673831 19.01599783 17.92521368 14.76801621 17.94055494 15.85725572
 18.11526673 19.69715119 20.62702011 19.35184068 21.30808606 17.70775189
 21.45283347 18.86711684 19.39812796 18.03541436 15.42578837 19.39118051
 13.10377178 19.90764529]"
15;122;"[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481 511
 541 571]";"[146470 178549  64755  41488  46661  53961  51900  54841  53371  55432
  50592  53336  53472  51963  55714  52190  54648  55987  59850  59275]";"[23.42770313 24.60708379 23.36510617 15.06880758 13.30453894 14.28721716
 17.21850781 16.46321618 16.40249857 16.01258922 15.41829433 17.13478891
 16.49644683 15.35244146 17.51087974 18.0766455  19.32243354 18.17462766
 21.39405205 21.08699282]"
15;1149;"[  1  31  91 121 151 181 211 241 271 301 331 361 391 421 451 481 511 541
 571]";"[ 90364  90919 106281 134642 125729 130882 116084 114388 120616 116970
 115140 112706 115237 121317 118031 126935 123221 125359 125691]";"[15.4969232  17.00261892 18.71945955 20.73299809 19.30924268 20.10378119
 17.8786716  16.871052   18.11239127 19.29436171 17.34299283 16.97265883
 18.18967958 17.87622627 18.22300879 18.72527437 17.85161779 18.44110106
 17.67258644]"
16;1744;[  1  91 121 151 181 211 241 271 301 331 361 391 421 451 481 511 541 571];"[53360 82503 56840 50575 45663 47346 48871 49458 46643 47906 50606 52756
 52824 52510 53165 54112 57594 57367]";"[11.57407017 12.11142102 13.24668685 11.3290071  10.20855717 12.20095681
 14.48084883 13.54865837 11.98320492 13.32965054 12.15966172 15.43458439
 12.87994402 13.45453588 15.60393967 14.89655872 15.61080775 14.22201031]"
16;932;[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481];"[109553 111445 132433 131033 145122 147508 149449 152686 145329 142426
 149307 148245 145419 141658 148773 137062 139303]";"[23.81586957 19.29449446 22.35533423 22.82804878 23.51296176 27.13539367
 25.52066257 27.64047791 26.87296598 26.10447214 27.6699407  27.25091912
 27.43754717 25.5515873  26.28498233 25.72484985 26.46333587]"
17;1743;"[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481 511
 541 571]";"[25862 23976 49537 58135 68201 74230 68253 68778 68896 69651 66554 62535
 63462 64494 62252 59994 64878 66582 71082 72204]";"[12.79358972 12.13774852  9.80169608 10.03483268 12.59621879 13.33325102
 13.52711573 13.53396975 15.03989699 12.39006878 13.39435075 13.10329774
 12.90944326 13.51885857 12.66781442 12.10491521 13.10900604 13.16447264
 14.08779746 15.72549781]"
18;418;"[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481 511
 541 571]";"[ 64871  72419  75190  88490 102698 102130  82669  86020  82534  76480
  70487  66924  67757  64979  65773  66799  70321  70538  70227  69241]";"[22.17086162 24.15981667 25.6306925  23.68790411 24.08718888 24.46812172
 21.9472561  21.98667783 24.32506544 20.30775902 20.70512502 17.68563405
 17.48534515 17.20134389 16.39011898 17.72692686 17.21172073 19.37625705
 18.12315598 16.71550875]"
18;491;"[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481 511
 541 571]";"[ 48523  55558  59348  60665  66230  72355  74988  74000  71371  80330
  98501 111984 122519 120700 127844 136437 143293 143937 147540 145430]";"[16.4915346  18.26641052 18.41719493 17.87160663 17.41985609 20.57292912
 21.3173947  19.54289029 20.29800887 21.73454119 27.99489972 32.59956677
 33.46674328 39.19852714 37.67963805 36.03207192 36.61426699 37.61594471
 37.17424711 41.33255771]"
18;1008;"[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481 511
 541 571]";"[39526 62121 51516 33089 56065 55142 48302 46444 48074 47902 49165 48717
 45865 41788 43478 40013 40492 39993 39078 39257]";"[14.83792565 15.71948518 17.79841361 12.10076593 15.86938748 13.13171428
 13.8623482  13.88461788 15.71683726 12.91190947 15.54152177 15.66936789
 14.10343583 14.17309964 12.48656217 12.39210508 12.57094465 12.10161617
 11.19930142 12.68155712]"
18;1080;[  1  31  61  91 121 151 181 211 271 331 361 391 421 451 511];"[28870 32404 31166 28981 24736 25433 29181 31740 26588 28257 22507 24747
 23452 24824 24411]";"[19.53575529 22.16155387 22.74404797 20.06361225 20.23764325 21.63733865
 19.56065579 24.92407282 20.22644389 24.04939785 19.68861852 20.93945801
 18.12433182 23.07036231 24.06788766]"
18;345;[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481 511];"[114048 115348 140394 161879 190265 190834 184146 182239 177437 165856
 168551 170640 173509 167453 174248 177783 177381 173989]";"[19.51540041 23.50203749 27.50666144 25.76050286 28.9861365  32.36668928
 28.15688073 28.72619798 30.89084262 28.09214092 26.95953295 27.7553676
 31.29671717 30.33568841 30.80763791 31.67908054 32.13423913 31.74981752]"
19;1448;"[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481 511
 541 571]";"[40460 64056 73779 53257 61846 64571 65648 60528 57085 52581 54792 56575
 55836 56245 56462 57043 56864 57191 54085 51643]";"[15.70264212 17.27508091 14.60391924 22.03648607 17.11340609 16.15905884
 15.75707872 15.77569786 14.07616196 15.39071817 13.5284607  17.92717152
 15.60578145 14.07234519 17.29272041 17.22896367 16.63353254 16.75891913
 21.84717783 21.04533316]"
19;1226;"[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481 511
 541 571]";"[20399 24476 28904 39751 39435 42742 41873 40362 38483 37777 39209 41150
 44230 38865 40089 38562 42482 47685 45683 44737]";"[12.32232532 12.42263394 12.63063142 14.61975448 12.46980065 15.1625577
 13.63560903 15.50483429 12.63810012 15.37067189 14.51291695 18.34979194
 17.44345554 16.30646733 17.09848419 17.91249919 13.76463731 17.46838473
 16.70586424 17.97168927]"
19;49;[  1  31 121 151 181 211 241 271 301 331 361 391 421 451 481 511 541 571];"[24062 48006 49718 62350 56034 53378 49312 49289 47383 47167 46033 45257
 45321 44928 47154 45075 44180 42952]";"[18.6105317  14.48149853 15.02450827 19.11504213 18.98078993 16.16427222
 14.98776856 16.04371993 15.97703953 15.22134769 14.83135558 16.66175491
 15.93914814 14.07491163 14.42522684 17.76444724 15.41936092 15.6850663 ]"
19;419;"[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481 511
 541 571]";"[ 67211  90552 129995 121718 140777 154446 140913 130118 130456 156365
 159060 167957 163893 174017 170023 174669 183722 185604 182643 191140]";"[15.64501862 16.64558824 16.08052944 23.89692452 23.98229731 27.41645441
 22.36985722 21.98319486 23.701708   28.89368509 32.78979949 32.28148582
 33.72755087 34.38841626 32.56324061 32.66952066 31.89308529 35.54735365
 31.77419825 33.54549851]"
