Time,half,zero,max
575.996666666667,2.67276902629201,2.000246052305,2.16927533482138
581.996666666667,2.49850581470022,1.96289957840666,2.15885943950524
587.996666666667,2.68602289069684,1.98146027143089,2.1416324708643
593.996666666667,2.5692196906989,2.01289639857719,2.12797122015576
599.996666666667,2.5692196906989,2.00972430574882,2.13478833238994
605.996666666667,2.54819734750893,2.04173114339784,2.10431777236062
611.996666666667,2.54401531160421,2.04173114339784,2.06451708239302
617.996666666667,2.51495075425186,2.02885165668931,2.10096556370707
623.996666666667,2.5190805258241,2.04173114339784,2.06451708239302
629.996666666667,2.56078860118226,2.05471280447039,2.05145760754862
636.16,2.55238692336759,2.05145760754862,2.00339915632106
641.996666666667,2.49032842946885,2.02564775890501,2.02564775890501
647.996666666667,2.43390677863916,2.03850165872713,1.98769719557157
